KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Title,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,Status,Effort_Predicted,Priority,REC
KNU-95-00-006-ICD-001,KNOT-95-00-006,ICD,SSOT,../LC04_DESIGN_DEFINITION/,Explanation Output Specification,"Output formats defined; human factors requirements; integration with displays",Review,STK_HF,2026-08-15,PLANNED,8,MEDIUM,LC13
KNU-95-00-006-PUB-001,KNOT-95-00-006,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Explainability Implementation Guide (Descriptive),"DM passes BREX; guidance implementable; examples included",BREX+CI,STK_CM,2026-08-15,PLANNED,5,MEDIUM,LC13
KNU-95-00-007-REQ-001,KNOT-95-00-007,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,Human-AI Teaming Requirements,"Teaming requirements defined; trust requirements specified; training requirements identified",Review,STK_HF,2026-05-31,PLANNED,13,HIGH,LC02
KNU-95-00-007-ANA-001,KNOT-95-00-007,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Trust Calibration Analysis,"Trust factors identified; calibration mechanisms proposed; validation approach defined",Review,STK_HF,2026-07-31,PLANNED,13,HIGH,LC05
KNU-95-00-007-SAF-001,KNOT-95-00-007,SAF,SSOT,../LC03_SAFETY_RELIABILITY/,Human-AI Interaction Hazard Analysis,"Interaction hazards identified; mitigations defined; crew procedure implications",Review,STK_SAF,2026-08-15,PLANNED,13,HIGH,LC03
KNU-95-00-007-ICD-001,KNOT-95-00-007,ICD,SSOT,../LC04_DESIGN_DEFINITION/,AI Transparency Interface Specification,"Transparency elements defined; display requirements; audio/visual integration",Review,STK_HF,2026-08-31,PLANNED,8,MEDIUM,LC13
KNU-95-00-007-PUB-001,KNOT-95-00-007,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM Human-AI Interaction Design Guide (Descriptive),"DM passes BREX; design principles documented; examples provided",BREX+CI,STK_CM,2026-08-31,PLANNED,5,MEDIUM,LC13
KNU-95-00-008-REQ-001,KNOT-95-00-008,REQ,SSOT,../LC02_SYSTEM_REQUIREMENTS/,ML Tool Qualification Requirements,"TQL by tool category; qualification scope defined; DO-330 mapping established",Review,STK_SW,2026-06-15,PLANNED,13,HIGH,LC02
KNU-95-00-008-ANA-001,KNOT-95-00-008,ANA,SSOT,../LC05_ANALYSIS_MODELS/,ML Framework Qualification Analysis,"Frameworks assessed; qualification gaps identified; mitigation strategies proposed",Review,STK_SW,2026-08-31,PLANNED,21,HIGH,LC05
KNU-95-00-008-ANA-002,KNOT-95-00-008,ANA,SSOT,../LC05_ANALYSIS_MODELS/,Training Pipeline Tool Analysis,"Pipeline tools catalogued; qualification requirements assessed; verification approach defined",Review,STK_SW,2026-09-15,PLANNED,13,HIGH,LC05
KNU-95-00-008-CM-001,KNOT-95-00-008,CM,SSOT,../LC08_CONFIGURATION/,ML Toolchain Configuration Standard,"Toolchain versions baselined; reproducibility requirements; environment specification",Review,STK_CM,2026-09-30,PLANNED,8,MEDIUM,LC08
KNU-95-00-008-PUB-001,KNOT-95-00-008,PUB-TRN,CSDB,../../PUB/TRN/CSDB/DM/,DM ML Tool Qualification Procedure (Procedural),"DM passes BREX; qualification procedures complete; evidence templates included",BREX+CI,STK_CM,2026-09-30,PLANNED,5,MEDIUM,LC13
